range	bloomHash	bloomSize	indexHash	indexSize
010534812-010538018	QmVZ197u6212pMvyHpsoPwpsUYVJv9zuozChdaSmJpTsX6	1048646	QmZa4jWB5ATxv9LLwo7TRC7Xb91JBjs7b5LzN9RyZQs4on	25948272
010538019-010540956	QmPcvyAg4tsbrmaVEi8vbMf5Y8obwfbEjPokyEGY5duVCb	917570	QmNSgFQgBCynai7aLMZQUgoZuk6vXc1mAHBhqpMjYQRT9F	25533948
010540957-010543876	QmbfXR5Vt2Sdh4Z559hxB7SJzzFS8XkhCe2XyxbGCtE2bd	1048646	QmdCqwD88hUZhGV9g6pUYj1tCuzeeL6FjHzaJQr6jqHiCg	26314428
010543877-010546992	QmVnXSYJfCssuNZp7a5eUUKVDfmWRk581mxNYGiFmbAvWD	1048646	QmXmJ76FCifNLfhRWdKv5qJPTtL48SP7PLAVTydo2uK8nZ	26474240
010546993-010549979	QmeqQgVMwmRTtxbveG9asjFShZrW3oN9ee7Tdg3ixLFPqP	1048646	QmcqGzutVWVinqbAsnPEcBf5WWLHoDcqwiLqJZRw6x1i2v	26956744
010549980-010553134	QmPTKVhh41eFeV8k4NBTLtRyQtgHNrSkfwubgin1LNrLfo	1048646	QmeLovUFipedazH85Us4E7bdiASCxUn8CUt5QHmEW8fmN2	26060664
010553135-010556245	QmZv9r8SbqKreTuP1wzgFUWCPXWYLhE4BvdLUnyFdPGV1t	917570	QmWXcMMFqnTvnQSodJ2y8EmtwcNg5qDxgHpU7y7RA9QCzL	25683744
010556246-010559348	QmWE2vDnFKuHBU29NGpUs9TBkMHtHct57hDX6Yxv8vvGDP	1048646	QmWDLtow42YfCY4Ga27qda1YRGMcaDDVZbshrok3NEspR7	26342784
010559349-010562315	QmcvbksHFBrNcrX7zC6rVSvQC1itv6XfvafahdazCA4NEs	1048646	QmcUraMfbbatLop35vZDSoZFc9fM5Cqu9gsbZ8WW2dxQEo	26617452
010562316-010565450	QmWHwfPcHodksKQ2qVA55eqsrhxjBvToHx9TaW9euf4eEa	917570	QmcTKqiUjbJk9w31oAZQNsMZkYNbdTivjR25FeW5PJagrj	25242160
010565451-010568403	QmcfYrtvMm7L1n3ADYkEv1Qf1cdm1oEMPgixUVrMLfNU3N	917570	QmUhe76AamwkawUwtqxFxqwibx2iTZpongECnnfuJnA5gE	25626224
010568404-010571556	QmTdYKbrmKMkTefeuVY7ifY91Nzdfhu677SffSKN5akyTx	1048646	QmR6VBwC79BL77MBKP5YMkjZQyET2kKP9GyPyHDTmSmzDh	26578156
010571557-010574609	QmSGeYgu19jzpUmRqJn9C4dyCdG6NwMXCLuwnB3JfUz279	1048646	Qmb4CNgx25Z2UF5mhmoseQDbfVJUxEPiBVpwqDsDUpsxjt	26356188
010574610-010577809	QmWt8SbDMmpgZCkMWWanUVzkMpzYBgVBzjgBnXMTfC9Vzk	1048646	QmNcVhvb5fb3jDVj6xMHE56UBi8Cp7PT5ZpzFwojGUMayf	26665672
010577810-010580808	QmVRFrzsqHFX5qQoHb7GeMKfRqUNPAMimRDeyzCtxi3DPE	917570	QmdUXEWcjZHWBvoSXSrDe8beTQJm6pPMRvPzoMUgoKwojM	25690780
010580809-010584195	QmYT9b5bZX2twSQDzDfQ6Pot6iDYA2W7LcjKp9YXT1Svyb	1310798	QmdgNqzYcZkgBxae3RAtTfmc4EGbautikpYY232S7G5581	28704940
010584196-010587256	Qma5HSiHu1JWsedyo1qyCky1xNvYrff2eYzkwmZUJZhFiH	1048646	QmTtngEnpBAgwpSvy2UoMWXid3hdEV8yuaMDXSr2Vfp8G7	26531272
010587257-010590487	QmbzXanyA8vMkykNdj8ZMyRG1uiFD9ajBtWNCQp83QcPmi	1048646	QmZTaQ3rsRseoa4VjTwEYcdbzQ5sksZhxJBmimJa4i1PRP	26768504
010590488-010593490	QmRgxM5rxT2bbrG1HCYfU652mzSRxXH7MfGp2VTxfudZuo	1048646	QmSsENVU22zsVMRwA8ZCNKyeWkbz1PZbmy5CyPF6dzABw6	26171676
010593491-010596819	Qmc4WFYP5LvhJn7KL8g8phz6rWABp47mUUdsQgcDmS4M9E	1179722	Qmewa4YK27CbFHf3ALupCPjNvreVScDV8YZMLhA9ChgJRu	28005848
010596820-010599797	Qme6qigudjSCZ8hZhHwDzQgaciyp7BkomF91wQQJj2EUeB	1048646	QmddnkTDnF5ro2Uimc1Jh3buwcph3hTvfc7PZgrwg3Kc97	26262092
010599798-010600000	QmSQCbW9KPQWxg7htMpNLa3u4ydQDH83xQNzYLRTDey5yq	131114	QmPLBNf1meGxzDzQQQwVprsvWtq7nBMoiVBAcL4AofoXbV	2123208
010600001-010603174	QmTwTsfQJn4KnFbm9hPgJSXgweNwNbTyRGxyCW4vLTrrwx	1048646	QmWNzDKWBerW2RrEhKAofKQT3uuHUwc73BnskGweWDbU2o	27023720
010603175-010606235	QmQMndDJARsD64FHXPGSA3Fo9EZTjqbmdMZVsUEfk9Cym7	1048646	QmTps4jL9isT2SqMpTVdEm2NjqGLEPutUqZV57zj4yif9e	26491652
010606236-010609449	QmXyAt7RsQF73BPtM9bGf7YrXHqP4YApkrTWCHGS5rrynG	1048646	QmX5tygZNFZEEMKKLxbMXTxfHFovjiLn3FQERubX2QkHim	26394432
010609450-010612423	QmQypeRiDb5XJFDG9amQaagwvXHHJK7UccyogF95QpFQNm	1048646	Qmawmt5HmyTSDXMWwvbRLgpdB4X4sm6azQYfrpd3uqHjSR	25942672
010612424-010615456	QmbZxNtcvUKJPM56cCthAwmt9VfQfzqLnMKn2nuzfima6Z	917570	QmcVtuiFX4dEFyA825VU7xohBTWi789GDwuUQvibEypMv6	25022656
010615457-010618482	QmesgqhJBMkLARm49uGUadqEirEShMLgHJogtZfMAtVfv7	1048646	QmeUa7c6m2p64UKwPKcubyn5xQfUYEorQecE1woxyH5kw2	26216732
010618483-010621466	QmTvVdcAWj3xpJvGiwN5ruyZB2H6aC4gybzaPQzYEoAhAe	917570	QmYo9HnC2LyZRsNWaHy8XDasxma4Z9xqstpV95usUjRfJW	25041428
010621467-010624444	QmNQUASCFxQ7zojZZ4vfKkDEjZ2hk25VxjEsmTNKXmiid6	917570	QmVy1gtB3999X31XKtfTGXrsXF36dXBpN3XVT4BxQjzFT8	25038408
010624445-010627351	QmYEUHfv4awAZWZMRwzszpQR1EtKztJvDrszbscAUmKCBV	917570	QmfSt8c2hd1f7WRerCJdWnZubV3PSnUu9nF4jRdKRGAjtB	24575636
010627352-010630225	QmUyB1tXUZTE7ExRhk6hbdQVy6hKarkeARr28BSzXmZKm1	786494	QmY6cWqXDgyee3k4DLE3Vf2GsVLJmESfYKTsQbV5PaCJm2	24247688
010630226-010633019	QmU2sTnBSRV3E1Uwj7xrnEMu8xL26xUGEsSBQ6ujMdVR5K	917570	Qmen7qxWY8tD9CdY66qYgks9GH3w2MNfCJCGpGKtABD6X3	25258220
010633020-010635868	QmPKBKBLSh7FAksCNCQRV1BtLdPM1qT4Hc34xzoYpPutWe	786494	QmU6V3KtpFxNDxZnd2Qfq1QLo5MjspwePxua8CPNLqVCPV	24042980
010635869-010638767	QmXY2oo8w4twt8Uep1KeUUHSmA75AM14zA9pvNCEdz5Ux7	917570	QmTZeNH3ZVE2QphLkhwsxb4v76SmKwboVXrm9jowpXNcQL	25138464
010638768-010641713	QmPMB6KEKDjgG4AJsUw3nH9hTvojNkecsq8bx1G68L5Q4d	786494	QmQH1GHSWfgydQdJxiZwfjDWueSuhUfuMLm1szqgvAXBuA	23910348
010641714-010644513	Qmb6sbeYmBEmYG95Yd5BTg2r6Q7gRAsr2TKuJaYk7vi2kW	786494	QmehuM2fqUAwnQ2n8GuSmXCVCoeMiKtWAc8qjF7tvHzq8c	24054532
010644514-010647376	Qmbzy49NHXFurKCzPsv4uWgNeBa8c84L1S9KJttoSZGR8U	786494	QmNbSw5ko5hrJk6B65vihaNYhAede9Mj5PED7guCpQtJT5	23757600
010647377-010650232	QmWpKgiyC4AM66bDapR2Yy8QWoaW7tfyVxBATaFc28CjyS	786494	QmSnBKJcPNK749q6ta25hFG1u7bGnKSHCgNFcJgMFtcPnz	23605476
010650233-010653150	Qmebv3zrUEwL2LTYufmRLMETc4rrzeRyhyfkYvuzwhPDPp	917570	QmcAMaLNxwAiTPYEaNYSXTtiQ4crMABndXDj2sULuMPyMb	25525120
010653151-010656104	QmbB8hwN9YZfuw7iFaPUxBymovxpiWLQXB8uSPV9MtTNwF	917570	Qmbn9ZtVnfyvBSjKtvEBhaJVLi2QiHtdCzYerNHdJiMDMb	24781772
010656105-010658946	QmNrToSnqd6JtKb8ESNLk3Zo3FuvvdKF6jGSSo2DVf52eP	917570	Qmb9CDa3hTHrgmAAooJwnFhQ2scYK1siuCsjZvgbP7oFRu	25028184
010658947-010661977	QmV7GqH8bAS3qEekDr1mRuHSky2PTJu52B6XFH8BeAsBts	1048646	QmSjzZFxHsKGxhohmmW7HgByhyagQPhNpZRf9ZQdxFDDaX	26096996
010661978-010665021	QmTo9xeMpU24K5F25f6GsfG7yJsdSFoWWd6DfRvLYPgDvR	1048646	QmaUD2jLicKxV4MJghMr35nRBQjoUM2MEShbd8rRQNr74C	26273992
010665022-010668223	QmY2AgEZCppsXVbh6JKVbGKrQR7ThYJXPiKW87aNY1MvPi	1179722	QmTk3FJL29CwsjFqhTgaS11sgbtKsoRjNrpnCKDuMTEjHT	27256264
010668224-010671289	QmZNu2D6Pfd4ZGJVw4GnqtgHMoPzDTqH9eULnPhCDZVocb	1048646	QmWpRdPt5AGFG5n4Wc3Td1KSdi8LRoXrQPTGKJxAxFEYqH	26191608
010671290-010674388	QmcY77n4mWQhM32nZZf6WYQwSw8PUVSaHxiCCtW5y1NxLJ	917570	QmT8YqFWxg9uR53aCgrL93RcgQS9JGgxnwEHp9qTCinKUE	25170980
010674389-010677329	QmYoVmnGh7SBzGGVCHq9btRJ9MJGnr8FbRZfauq7vvHUFr	1048646	QmWpLzL8FnJUsJmNoh29YBemrtRgqEEKtQQKF8WB3PAwx3	25975812
010677330-010680371	QmWK7SpvZaATGKjrywhkrhfr1XVkyueVySZtXhb31vNSe2	917570	QmbNQ8ZyWy5dRr1kHTdnAoBfB1Ey8PYhARsSAziVSZh8dw	25277556
010680372-010683178	QmV6Zgj7cbnZTQBcGZPpYM4YteKDkfHg2ZccTQjuE6dP4z	917570	QmYikU54zpMo2Rum7pGx7F35Refiuk91vboFwit5NoiTDd	24849960
010683179-010686101	Qmcoz5hyx9PBWrQAn1QJkifk5PfAHhACHpAHmhc13HvKb4	917570	QmNMudDP5dCEduTUExRRLfCPCADyeZGR6YWyAmGinNmcQX	24541736
010686102-010689058	QmXW7QrrWqhJJGW6rfGVHCZymUzRYFEsDgCXrqWrRdWeyg	786494	QmQmqNgxXiuBvyaF6VmZMVnwtnbwy8drnRLzXghp86sFHg	23962748
010689059-010691975	QmUPTBL4ascpYBWG92jSgockx9nAdSAyFcjuSWJGBk2izb	917570	QmTFBY4rfraR1izNDqMW9YSmYRc97wYZ9urZWhYmMaB4M7	25307256
010691976-010694977	QmUYKCjZKny1A3nVRTmJNLr31o1AwYuwjPt5rEDsgmTdLn	786494	QmXWyY7eRsP3xf6ypmvooZ7RbVDRhsiqwYkEFqHu2PHsYA	24183876
010694978-010697904	QmQPr5ZP31Gbs659FA5QS37TXA4bmh5WYnby97pkJKZq6M	917570	QmZUur2eb4PQEXpK6i2q87YhdfWvaAb9GwNiwqsMzCtVCU	25185988
010697905-010700000	QmU9YiGdbPguehnff6quRbB7cYE1oHZ3fNDPiL973DUQ78	655418	QmX2gr16Pn8awyNxRUMu2N8q3RhTjbum2w5b8vKiZ777Hm	16933340
010700001-010702683	QmbhV41mwoVMK2BS31UvYxLJA5ydZEnkMwN2asyRMmX9bM	917570	QmaQQd6LQoRKdYpVDrqkF4G2cTaGDHacXunHDSwPgAZhqR	24881772
010702684-010705483	QmTgiaL6aataHfJvV7gutvsTNMKs54csMJ6kBJiosmFHxF	917570	QmUrxP7xKohQQnQNzgfnwECT3WhEJmHvFx25VV76w5k2gD	25033564
010705484-010708543	QmaJGHfN4t8mo3JUqXWBq33xrSTKkP8RWC4ZKWGVkiKMnE	786494	QmeU8YenF4MhdJb7gQzPtsdMamzS6frDzyV4Maafd13PQ5	24211984
010708544-010711576	QmSZ6hjgC95Y3YkEB41JbBECAVYjSDm1HMyA1nXUCsNkfD	1048646	Qmcxp836ddhSDZoGoypZJmGKYjuaLpNCij5FYEJ3ZUMkhR	26410496
010711577-010714667	QmeNH2fbWe5tev5sJJqJxwsTW1NbD8xNxxyCp4MS8No7tR	1048646	QmPHXvfvP89LW8XA3QwAkGDNnJhUMuNa5Kaucbnzb2GsmN	25828620
010714668-010717630	QmPvSJug661cv3nvSatypGifWrEj2aEeU1Z9rs9V3ACtUV	917570	QmaC2mJcQvEaXrTuytCF6dLceYCESQ4Z9Z6gu93xgdTC9s	25438500
010717631-010720831	QmQsyhMR7AzD4dLxB9f22n3Xq9GhkffNAuvgvthn1HiZhk	1048646	QmUtdQXKrEbNAFnmVnomNcJjy8X9KSiHXKj94yFTSbbjMq	26203756
010720832-010723786	QmQ1PrhGPdjg96XVY8Ft9ibj3WDrWRU8tDY9XmssrPMCSm	917570	QmTGShfwtVdMSjyigZbJ9QJuv8n7j3cozFBnPV8s7CJsoV	25016124
010723787-010726887	QmdH1fHkaTTAqQynsVogJwbNc1e3y2AiNKXxKVUh89NE3b	786494	QmVh4urgQzehS55HufLsmmLhXkzXA8zGQGWGZqY58G5RWW	24284136
010726888-010729866	QmV7zANNrdMtxKpv9HRSFvKFcVYHoeP7Uhnhcjz9ecc6bt	917570	QmcLhWHeyLHXH2mgjFb6jCHtFAg72Wog8cLXJmdbaTGDUs	25557680
010729867-010733003	QmbmnCnaPzRhZZjrzzSiH3cjifooS3NGa8BfoC9TMepFr9	917570	QmVrqs2d1X1wAPm99e6EensXmWbYD4HUXrkEyBv8KUar2Z	25353692
010733004-010735993	Qmf3G94TrFZingQ7EargW68ZLzv5To78zY6RP43C7s7VaC	1048646	QmRdUFGpi2T3TDZ2NCZ4WXCrYuhoB7PHbwYm26EzbMcU9V	25997116
010735994-010739004	QmURHpLxntWBQzxthFAqGokb7muCbawNt1fbfR4qr9ECrt	786494	QmaazAimUjyosTWmMqzumAaVsQAKrtXDmc91gn79Mb3Ddb	24291408
010739005-010741973	QmUeTgRC3sggDu9Bnf56arHvZjxgctGaGrpAfUGcKV76Dc	917570	QmNfUqt2AxW5ycoNi7VmvTcmSaWyP1kRVa5VrzbcDpHKUE	24906968
010741974-010745055	QmdrXTSGYacdFFpq8iRHgcApD8Wyer2thNZZF3KCmtN7p2	1048646	QmTiiJRT5TUhBBKueX6fA8QVT6BDqxL4ZEpDRskH2auXcc	26181964
010745056-010748174	Qmc4tYPtocjSjvjB4ia5cHBekDdcDUxS7ncspnMzsFcGTc	1048646	QmRfJJpCtHVccpCYRpCxWRmDUF8SoJ7XKYHHfVzjKGEpkc	26183320
010748175-010751111	QmZHBrNEe27hMC2hG4zr2sLKxxB2q2AQBBfH9pmqi4mp5k	786494	QmQnkHSVqztov59Xw9NJFr2NKnZVddyb6vZUv9Ako4YgVs	24035936
010751112-010754182	QmfFX54feban9fDqbNvzSSqJj6G2Mqg97ueQkRJ7fp7L2p	917570	QmV2YGiAyG7CjFxsD2Q8D9Sh9Fi29Fb2C9MfvD1YjaJJms	25281328
010754183-010757102	QmRh5vn3zmDrNKxLiW8R4qxAy7B2KmVbu9f29LnsJhpfvG	786494	QmVv9HYqCo8A3E5xj5dDa6BSWfuAtfs7hByP34Nwg3Q7wd	24242832
010757103-010760019	QmZBzXLVjMPhE5dsWz2CMyS57fyuuQGPUHycLF2NQM9CFC	786494	QmdjP7URbTywJKKCHsPwgiq7WA8X7gdovrTaawV254L9gz	23302388
010760020-010762863	QmS6iyWccwmi193wUCCfx3jFdmFGcuhvQd5FPLSUrAAeh1	786494	QmaynA1g37bZ7ZUYYhGTjBtkQdwsuwLBgikbFrumZTFoGB	23072708
010762864-010765877	QmXFVe6VRPxKVLp1MhRztWqAPiTdkUWJaDRVPA4z7jdaTj	786494	QmZNdNTHQ6MLAzHZ4N2XpubiHTbSgHc2xXWyGSUkw22fMn	23122404
010765878-010768717	QmVByT2bSTwidJq2nRJxw4tnGLi6NVgBeFBqioohHYG2UP	786494	QmdKTtWpHzvGwWdUmACFrM2iihygJehe2vyht5JN8rJWyv	24141396
010768718-010771637	QmeaaFqnPdA1Z5ShuFZEpBNkPfLrBS41tLNdzEZ9Ke1imC	786494	QmaEvGRqWChdh9qvXkpRZb6yJveYMoR5uMftj4ut4tqnHD	23162080
010771638-010774446	QmRfzhs7gmUdKQRh8m8NENWpzBedEVoNK36xPQkGxKNhQT	786494	QmaasmKKY2PkPoQFzWny3vf3VeXZzxsBSKGMhV6iTa8hpX	23857192
010774447-010777266	QmaPCMCPZgK7nDWVeCspSSizusJKo1oNsEZfk2zLgoXkA1	786494	QmfJEQL2kqkUdFw97x7URHNYmvcLuxNUzsHzmcseodSNX4	23992064
010777267-010780169	QmVuEGcMjLN3QFn24TD4z7Nv6mq6421oouV3zx8zWpyoCo	786494	QmSSdFFC5HDvid4zPshatViHDhnausBaCs3wvbyzqfhrxf	23314804
010780170-010783083	QmSF3qrPrvHpvdeXSwhGvQ7WvMoN9jTyJXuuD2SF43tA3o	786494	QmPaqqQLhVoLMT4jSFVL99u8i3Tkqy2joTgpppRReC3khd	23930088
010783084-010786071	QmYUeKo2P8ZXfunGFLqkXcT3QfJea5P1diw5qFkwr15wij	786494	QmRFuvAFQgGzCUNbU5o4WfFj7HLypTQtmwPU5L3jCUZ7Yb	23306112
010786072-010788956	QmNn3WD1aW3nCzfB4XC1v3FjRmUMa4zVWtTHrauGc8pDW8	786494	Qmd9iRRJv3zngEaZ88KNpJyCJUJbhnuuQocb8PNqvsr5VN	23919592
010788957-010792001	QmX552qQAJ7D5KK6aXd3zkZQ7oBrMwNnUnrYFGremw5WZN	786494	QmS76vVJSD11iroyUjThJ43UdQr3HtRVcTd8XdTMBSEAy6	23627936
010792002-010794980	QmUzEaAA2fMdtG8cFdW9PEvc5p1DRYy133RRKQuYXD5oB4	917570	QmWdHiaQUopNcCjrAqowzZYTzmSkR4xsoopB7iaSamXErd	25337864
010794981-010798215	QmeqtqWjjqP3gjcWsCiXUuwsNztw9CdcCVjCpDTN1tKtGT	786494	QmRncs75kDrKKbW7kbMDSStDQToLuwhr35S1w5HFjGBhnM	24275708
010798216-010800000	QmYLHNN2BeTwsQDhbVEJURGc6JpL6bdRSCJEWkombgNJAP	524342	Qmaz2jiyuQZwsfxD3PTLpjNj8sALxPKQ38QS5RUJrVGuqq	13622164
010800001-010803001	Qmc3DqfpDhkss87WiHzvxS9KKn1cn5oirDrnEnTcrBGJSh	786494	QmYZQK3trVDcNmT3geTLB6unHFWNZ3Pk1DEf12nGH4gWW1	23494352
010803002-010806204	QmerMreSH4mqfoQDdoZkDgxXB9UYeQa3tS895XnRvt7aYC	917570	QmZzZCPG6pajvX4LhrgW5a5RNBC9S3JNUhgZtitWigGH52	24815724
010806205-010809276	QmfM5ce6o2CiQEiGN7p9nz5GTbUh4zxLFAZ51ohFGT26Zs	917570	QmRQpm3gP6RGo2gU35ZUjJzzf9DT7xL1djNhDpRhtMuQXK	25110812
010809277-010812500	QmRn3J64HqpkeDDLT65yUhMqEe2M8yDpUi9Cb1AKQy6yr4	917570	QmRfLrhNS8dSKxAEbzjUWP5snYShE1PmJdgaVKmxDtHDkw	25488284
010812501-010815583	QmULzdwf5dFiCeZktsCgo14VqcFXHzvjeHU5CwbtNtWK6C	917570	QmZExZJLwMBvCZJmGphTHiqvnQyyDBjxGeq9PbJu3yJyQQ	24728916
010815584-010818877	QmdNtdttCPWDnq7jrwwokFjbRTk97n7Wd1U3FyJFWYAc88	917570	QmeNW7TK4Hz4MUQU7QGu22fNQP2zcfCa6ri1gSMDmn6dbv	25550156
010818878-010821987	QmT2AkqyJUKknpQbiV9R6G5jrqBLNFrezJDSvKdGgjeSEt	1048646	QmV7rYX2fbC1i5yBDc7nqVttXqQiLVhjXFT6KLkmwbj6JB	25832792
010821988-010825159	Qmeun2KifcBvPWhhKnkZLriFwmc5cezoA6En87WLSKTTSX	917570	QmaEySbL3p8yR9FRXfpe9HZMa3e5XXsVMjYgPuzcMi53kT	24800752
010825160-010828161	QmPYUfqv7csu75Mu2RL7oWvZhKTi5dKKdZcoHGDjxYbn5Q	786494	QmNU5e19PvfQShDnCaPDxBnNWBWbXy51cbJbr3uKWcXPi3	24145380
010828162-010831289	QmNuEVizxiDJyK6yt9cbXBXJySwma6Kr9yAgLgvwKqayt5	655418	QmXwhzytVx7AjB5jaAtoVC4THqmqPJcUCuyTqDPW81URRN	22945992
010831290-010834149	QmVQvrNwm81SeG5S2ZMDeBYDMV3xHiFryR2RKmvLf71ZDY	786494	QmWbsuSPepGJFfhkaPDMiKmDb8voxnfxGmdweuWMryyM1k	23469808
010834150-010837163	QmRQLAk7YX5ggCG3sUVrDvdHAtyz3YsuRfc3phQKTY7cmj	655418	QmdBhCwBAVXtRc5D3enzEpdtzYGiudW4BFcp5ZhrcPG4AV	22473320
010837164-010840156	QmZax6GhLuyyFFrbVduGnJRfY9GGZL44wTxSoyerU8JHnV	786494	QmZ449vqkcmifbaoFJHx4bQBVV8H1p3AHr4bHCduCabDEF	23434416
010840157-010843271	QmVYnJNmbt3JVTV6eQQjUWM8V6dxtFkfAhJ2TSoeY5E5Qf	655418	QmQqT78CWhewH5f6gQqPThJu7VzfZmg64woXUtdubVnK7Y	22727780
010843272-010846347	QmVqwy2gSFUvU3PAyJWAxoa4AkndtXZgT6Gpjt1rEuAAea	786494	QmUiAFE8aB6AC5fTMRGK68jKQhu5aGnWJsvyvVSNodnnzv	23959276
010846348-010849388	QmXoK1vRYWcfQcUtTeLiiA6QbDFP1ZHFYhxNgUkJAhqpBt	786494	QmPfAiXjtCtdfRMLeHCpougQfWUsgnNtUjusUX93qEaMii	23212276
010849389-010852494	QmPtWg1vyyJEN8a1JLEtF67qSFuoTK8XZX4FGZKQvxNZEr	786494	QmfGEavKHTrgEnCycw32obkzttLZ4P8zPBHigHQ3kdMZVZ	24180732
010852495-010855498	QmXePvBLz98ShiZgCdRux8Wy875ogj9yX9iAatdxS2JYXP	655418	QmcxJqaQJ5yxmygRgykzAasFnHXcVX6m6ZqQBHSoPNmrhA	22914556
010855499-010858552	QmdjsvnicnuiYEiTc44FuX9dWxyU2AL31KiQnuRNJQSubG	786494	QmPzGNpbiWyJ9wnZVAK3HbyWcFdokP4nQVS6eFcpi7YvbM	24055080
010858553-010861446	QmfAETxBmc2NzJKytTrp4a2xL8xPtxnTV8GWA3ubfke4Zy	786494	QmXGiBpXRi1fcdMFdTcEWnizi7MKe9UVsV6KxRWPUeBhiY	23729700
010861447-010864529	QmTuc8r6RMer9mhkSve41WFgT3QbHcejLf25F6Yr57vjwU	655418	QmTBQoyCKv6BzQcaRvW8TpXHhaZmzkdU49sU6FZEgaCSWH	22978300
010864530-010867443	Qmc7KJXLxSf6GBHtCP5cLZ2hoZjWxTpfEuacG8BhV8X4e4	786494	QmPLfhP8nQQtr2xxmimVsNUKvj9jRFkfi9ftkHiDgjqXBZ	24260360
010867444-010870544	QmTC5T4UxgNSPUaBdFi6n86kiDicJRkr1vVe7QaXQE5RrG	786494	QmZTMN2jbbkZxFGfedKhbDWWxnXCpR3oZHwxCz8G5kTfcZ	23165144
010870545-010873488	QmdJkH7DgAfNvXioEuhjb6e16aysxarok2Mm3QBU5tohWt	786494	Qmc7JweUrbVv7YRz5Jz7byuGojGNga9RVPGGCxba3DzSYg	24067168
010873489-010876706	QmWCPAsxc7kc58kSjhSqE9n82iUA7FEKX7YQk5FrpqNzu3	786494	QmTykSmKZSrLtjFY555ZuM66Csz8WN7VHPGkdXMz6eMx7t	23603664
010876707-010879441	QmZSEDs1RovULPnFWJ25riQwqaZJLU79rNy2yfcCR7ooVS	917570	QmWBjLLK145ZBSar4opymQbXgcVmYMQx9x33pd3BnJTkmi	24709540
010879442-010882251	QmUd7rkQiN9Yv2PD9QwbFYnqJW2XXmMEcCDGYEggmZZshH	917570	QmZXzsLZAsHSvzCSk274h23gKkfD22m7M994A77ayrjavh	24999196
010882252-010885031	QmPVBC16bSg3EkVNJ4ptvgLymCdh1bpavVMNfnXswfiFvu	917570	QmNbGxkaE5XBfojEPnYV56RrnKhPx6yipr6bPZs6R3XDNc	24982424
010885032-010887884	QmNprbKRHAEgPSNv6K4bgXdxZSKkjap214iWFPTLnasWhz	917570	QmRNoAYZwGNaZSFW2osamfYzyqiy8PDy6YjywWverntXWy	24978876
010887885-010890869	QmbYZdyd4q2YuCowcoWfVRfNZtos9oXWRw7ryGEh8cQNrE	917570	QmPozLaMbwgm1xvqQij4Z8H8muypMeXTvs8UJuRS9Qmter	24518956
010890870-010893873	QmYABuhBhJB1FK32SXXsZD9JtbMPoZRuUtyG58NYQqLL6x	917570	QmUvvj1BV1aWxgimmA9hy6QqFg6YDSWokYrwZ4iXqwQ9UC	25133060
010893874-010896911	QmNvj7P8VjvakkHR7EpWrcjTAqWmMuQKLb1Z2WKyBw8SaZ	786494	QmdQEDmyXAeH5i4tX5q2xMVS5dnzeudxoz9n6pdQpBpzuG	24073736
010896912-010899843	QmSd3Gpj8vdvjsugBTLcp2X2Te3b1TkPyoMDLTW26s36ez	917570	QmYHmpgCYHmsQBZYRog994fXiJk8qX1T7VtaEtDkou2UNk	24814684
010899844-010900000	QmYMcqf1UbfdmV9uyjyxKvv5EUdB8KCZFei92BLbqNU77r	131114	QmQU3NeaKf2ebzTyLpKpkHNFXn7qcenRGA7J7a28Vmscjs	1560296
010900001-010903102	QmPTP14DDZFfZrih3xPDhH1W2NUGMmJo8DcSwvCSMUafNv	786494	QmTms8sgPHDLaHQZZfwY63UwFjNwxQ93DYjkPWJymh47t9	23537940
010903103-010906024	QmcV9PRkt9rZx2YmH1AgPeZmzb8A12RvG1YFsGqhkryfUg	917570	QmWRCoBUyMs6n4z2Tzgn2KQ5qzv86oaobEoFLNnvtafq9u	24947012
010906025-010909147	QmQ3E9taAnikaYcoUj2GEn3TLv5vNJ9cRgNe7mBwXnZtDj	917570	QmbfHKNWVXCfgjxQy4EmX3qn32TJFjEjgZAXyqAdhRe5tA	24472136
010909148-010912141	QmPSazQjt2f4VXWT82hsah1j7dY7QwcrYJVyaQXENiqbjK	917570	QmfAEgV9FUb63CYAREMhA6XEgSqXLDCE8fmMrcX5mXaSBt	24887668
010912142-010915228	QmSzxwMib6Mss6xpQnWKyS9SWQN9imW1T87bctbrp3GDJv	786494	QmZJ7iimEkyRiufLyZ6K5TSb2huJM8tSYWKK7uxm6D2icq	23536328
010915229-010918266	QmTr1L1XCuNJ1fGLGjhfQWr8Ter6WvVdwBg3DbTtDFukvA	917570	QmUBMVVUuheb6U3MpcYhyeJU3P2mA4TYNopT7uktt9NNxF	25258180
010918267-010921346	QmWdRVt8Z5UsosxXeQ7477ifPuS1mGqb1Ea7yntTqKW7hu	786494	QmSfcQXpHGV2CfrE41D5azAaseyhqQHAmRhT8ES9JzQe9Y	23819972
010921347-010924475	QmVRhdbts6DTW9GwwBcpmHkos7U5gLWDFDPMyx3DaA2PAg	1048646	Qmb7A6hQoY9nB89Tc4N7Razzz7WP7G4Ser6CAxhVQj9wnE	26149216
010924476-010927565	QmYueZ4KDkSFQETpGeDHfMbcLV1JkjJ6JsBF8tMNAjE8ue	786494	QmRjZKjLPVPHVCpgAdn65R6d5ykqqfaNNdJRxxgcVjhwtx	24132752
