range	bloomHash	bloomSize	indexHash	indexSize
002385676-002385987	QmUeWt8ECatrQoTnJhP89uzFYUQyjsj5sGGHu991BknkPR	131114	QmdgrKWP8MLNWz44dgCVRWRcUjGxDkBYQWxbVhF645ySz5	17358408
002385988-002386281	QmX5NNohcwFLd5mUagdFV5HMvEmgLi72jiZ6K8hhYxDtXJ	131114	QmdRgFaphKtwDSz4xzfVLCQoFesz8nyGDuLKEbKXNfgSAp	17437028
002386282-002386615	QmaDEq1zBJ4dSv93NrTkqhKoiKujaoRbMZ2ZeJb3t7z64D	131114	QmZWJ3sHXoDWBJq4iRr6zKSL3Z5y5NXx2Qo3pwchrRFWKW	17401020
002386616-002386931	QmVh9RENZFTn6ngTohucmBD9rUf1rtD9S7EA3TnCmgqSQZ	131114	QmZAQTWuunUkMsxesfPUzkBzYhvpjXm9mWFSbGtZ7utbXk	17359116
002386932-002393673	QmfU2CtLtXts4N3j6YGJDR8jUfQWL1WvbcVtGeJqbR2WCd	262190	QmVoGDqq7NRFsr9DSfyADu5FySotAqY5sWYzYrN7CcLefg	18118048
002393674-002400000	QmXbCG2JbXX4JfVus1A9zJ9LKY9s5mNG8TRb47ctoVKCap	262190	QmaPPspLu5r3Dz1667D27AKvbpPJuj4LzjNRpqsUR47ksa	13087964
002400001-002402271	QmenZ2XNYYhk6KG4cNsaGsZYrZMa2ufVZSCSPs6KWm9Qby	131114	QmRdsGMHgV1MVBMCxYBss4G5JP2qzX5n7jMBD8jNbJmXdS	17013496
002402272-002404080	QmPhjUhCisrahC3z1zhT7ALMeitqSHeDLZb8cCc7sPnThM	131114	QmNxJ7j5DNEnzLX18wz9pujeSBWSGTKtvBhz195iwe1i7e	16790220
002404081-002404557	Qmdjm153fET8ggLxPWZcuinY2RV19WGWVNRfNSa1M39SMK	131114	QmdsNmrNMT6g2oU3g6VUVGJ3Qophxv7wAWo7E4seiiZZjU	16803776
002404558-002404985	QmUNKrFhscpd1V9qyiu4rpaX4BKmUMvzKxzq763c6stH1C	131114	QmQLZHbZpf186S6Qf46sYyQKLT5i6BrSuxXnc98oXPVmP4	16801868
